Stream,NCH Target Table,NCH Target Column,SS Table,SS Column,MatchedClaims,NotMatchedClaims,MatchRate,Classification,Disposition,Recommendation,Comments,Comparable,NeedsChange,TotalClaims
PROF,PROF_TABLE_1,PROF_FIELD_1,MCS_TABLE_1,MCS_FIELD_1,131950,22900,0.852114949951566,Different,Action needed,Review mapping,Interactive demo record,True,True,154850
PROF,PROF_TABLE_2,PROF_FIELD_2,MCS_TABLE_2,MCS_FIELD_2,89459,9528,0.903744936203744,Match,Good,No action,Interactive demo record,True,False,98987
PROF,PROF_TABLE_3,PROF_FIELD_3,MCS_TABLE_3,MCS_FIELD_3,42689,10314,0.8054072410995604,Different,Action needed,Review mapping,Interactive demo record,True,True,53003
PROF,PROF_TABLE_4,PROF_FIELD_4,MCS_TABLE_4,MCS_FIELD_4,21552,549,0.9751594950454732,Match,Good,No action,Interactive demo record,True,False,22101
PROF,PROF_TABLE_5,PROF_FIELD_5,MCS_TABLE_5,MCS_FIELD_5,144343,26619,0.8442987330517893,Different,Action needed,Review mapping,Interactive demo record,True,True,170962
PROF,PROF_TABLE_1,PROF_FIELD_6,MCS_TABLE_1,MCS_FIELD_6,157854,186693,0.4581493961636583,Missing,Action needed,Review mapping,Interactive demo record,False,True,344547
PROF,PROF_TABLE_2,PROF_FIELD_7,MCS_TABLE_2,MCS_FIELD_7,101569,53560,0.6547389591888042,Different,Action needed,Review mapping,Interactive demo record,True,True,155129
PROF,PROF_TABLE_3,PROF_FIELD_8,MCS_TABLE_3,MCS_FIELD_8,76047,4398,0.9453291068431848,Match,Good,No action,Interactive demo record,True,False,80445
PROF,PROF_TABLE_4,PROF_FIELD_9,MCS_TABLE_4,MCS_FIELD_9,82275,24194,0.7727601461458264,Different,Action needed,Review mapping,Interactive demo record,True,True,106469
PROF,PROF_TABLE_5,PROF_FIELD_10,MCS_TABLE_5,MCS_FIELD_10,165084,88702,0.6504850543371187,Different,Action needed,Review mapping,Interactive demo record,True,True,253786
PROF,PROF_TABLE_1,PROF_FIELD_11,MCS_TABLE_1,MCS_FIELD_11,21150,19631,0.5186238689585837,Missing,Action needed,Review mapping,Interactive demo record,False,True,40781
PROF,PROF_TABLE_2,PROF_FIELD_12,MCS_TABLE_2,MCS_FIELD_12,112253,155699,0.4189295097629426,Missing,Action needed,Review mapping,Interactive demo record,False,True,267952
PROF,PROF_TABLE_3,PROF_FIELD_13,MCS_TABLE_3,MCS_FIELD_13,57521,7485,0.8848567824508506,Different,Action needed,Review mapping,Interactive demo record,True,True,65006
PROF,PROF_TABLE_4,PROF_FIELD_14,MCS_TABLE_4,MCS_FIELD_14,127437,23835,0.8424361415199112,Different,Action needed,Review mapping,Interactive demo record,True,True,151272
